route,source,location,before,after,reason
"/despre-faber","despre-faber/index.html","visible-copy","FABER este denumirea publică Atelier de Consultanță pentru servicii de consultanță, verificarea eligibilității și coordonarea documentațiilor pentru proiecte finanțate.","FABER este denumirea publică Atelier de Consultanță pentru servicii de consultanță, verificarea inițială a eligibilității și coordonarea documentațiilor pentru proiecte finanțate.","Lexic controlat P0.14"
"/despre-faber","despre-faber/index.html","json-ld:$.@graph[4].mainEntity[0].acceptedAnswer.text","FABER este denumirea publică Atelier de Consultanță pentru servicii de consultanță, verificarea eligibilității și coordonarea documentațiilor pentru proiecte finanțate.","FABER este denumirea publică Atelier de Consultanță pentru servicii de consultanță, verificarea inițială a eligibilității și coordonarea documentațiilor pentru proiecte finanțate.","Lexic controlat P0.14"
"/contact","contact/index.html","visible-copy","Solicită verificare eligibilitate","Solicită verificare inițială","Lexic controlat P0.14"
"/contact","contact/index.html","visible-copy","Buget estimat / cofinanțare","Buget estimat / contribuție proprie","Lexic controlat P0.14"
"/contact","contact/index.html","json-ld:$.@graph[4].mainEntity[0].acceptedAnswer.text","Program vizat (opțional) Nu știu încă Programul Regional Nord-Est DR12 AFIR AFIR Autoconsum Agroalimentar Autoconsum instituții publice DR14 AFIR Digitalizare IMM Femeia Antreprenor PRO INFRA Start-Up Nation Modernizarea microîntreprinderilor – Apel 2 Fondul pentru Modernizare – energie regenerabilă Apeluri GAL e-MOVE RO GAL-AFIR / LEADER Fondul pentru Modernizare Fondul pentru Modernizare – autoconsum Fonduri regionale PNRR PoCIDIF 2.1 Programul Tranziție Justă CAEN sau dimensiune economică SO (opțional) Buget estimat / cofinanțare (opțional)","Program vizat (opțional) Nu știu încă Programul Regional Nord-Est DR12 AFIR AFIR Autoconsum Agroalimentar Autoconsum instituții publice DR14 AFIR Digitalizare IMM Femeia Antreprenor PRO INFRA Start-Up Nation Modernizarea microîntreprinderilor – Apel 2 Fondul pentru Modernizare – energie regenerabilă Apeluri GAL e-MOVE RO GAL-AFIR / LEADER Fondul pentru Modernizare Fondul pentru Modernizare – autoconsum Fonduri regionale PNRR PoCIDIF 2.1 Programul Tranziție Justă CAEN sau dimensiune economică SO (opțional) Buget estimat / contribuție proprie (opțional)","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","metadata","Hub despre eligibilitate: diferența dintre eligibilitate administrativă, tehnică și punctaj, documente, CAEN, cofinanțare și riscuri.","Hub despre eligibilitate: diferența dintre eligibilitate administrativă, tehnică și punctaj, documente, CAEN, contribuție proprie și riscuri.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Solicită verificare eligibilitate","Solicită verificare inițială","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Hub despre eligibilitate: diferența dintre eligibilitate administrativă, tehnică și punctaj, documente, CAEN, cofinanțare și riscuri.","Hub despre eligibilitate: diferența dintre eligibilitate administrativă, tehnică și punctaj, documente, CAEN, contribuție proprie și riscuri.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Verifică eligibilitatea","Cere o verificare inițială","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","valorile, procentele și termenele se confirmă în ghidul apelului activ sau în documentele oficiale publicate pentru sesiunea respectiva.","valorile, procentele și termenele se confirmă în documentul oficial al apelului analizat sau în documentele oficiale publicate pentru sesiunea respectiva.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","verificare eligibilitate și discuție de consultanță","verificare inițială a eligibilității și discuție de consultanță","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Informațiile de pe această pagină sunt construite pentru orientare practică. Ele nu promit aprobare și nu înlocuiesc verificarea apelului activ, a anexelor și a grilei de selecție. Scopul este să poți pregăti o discuție serioasa despre eligibilitate și dosar.","Informațiile de pe această pagină sunt construite pentru orientare practică. Ele nu promit aprobare și nu înlocuiesc verificarea apelului analizat, a anexelor și a grilei de selecție. Scopul este să poți pregăti o discuție serioasa despre eligibilitate și dosar.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","costuri permise de programul activ; servicii sau dotări justificate prin proiect; documente și resurse de pregătire; investiții care susțin obiectivele apelului","costuri permise de programul analizat; servicii sau dotări justificate prin proiect; documente și resurse de pregătire; investiții care susțin obiectivele apelului","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în ghidul activ, anexele apelului și sursele oficiale.","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în documentul oficial aplicabil, anexele apelului și sursele oficiale.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","cofinanțare, TVA, costuri neeligibile și cash-flow","contribuție proprie, TVA, costuri neeligibile și cash-flow","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","costuri permise de programul activ","costuri permise de programul analizat","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Finanțare, cofinanțare și buget","Finanțare, contribuție proprie și buget","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","valorile, procentele și termenele se confirmă în ghidul apelului activ sau în documentele oficiale publicate pentru sesiunea respectiva. Pentru o decizie realistă, bugetul trebuie impartit în cheltuieli eligibile, cheltuieli neeligibile, contribuție proprie, posibile diferențe de curs, costuri de implementare și rezerva pentru intarzieri.","valorile, procentele și termenele se confirmă în documentul oficial al apelului analizat sau în documentele oficiale publicate pentru sesiunea respectiva. Pentru o decizie realistă, bugetul trebuie impartit în cheltuieli eligibile, cheltuieli neeligibile, contribuție proprie, posibile diferențe de curs, costuri de implementare și rezerva pentru intarzieri.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Exemplu numeric de cofinanțare","Exemplu numeric de contribuție proprie","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","procentul real se confirmă în ghidul activ","procentul real se confirmă în documentul oficial aplicabil","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","actualizare după ghidul activ","actualizare după documentul oficial aplicabil","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","un beneficiar poate schimba programul după verificarea eligibilității","un beneficiar poate schimba programul după verificarea inițială a eligibilității","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Nu. Conținutul este orientativ și trebuie confirmat cu ghidul apelului activ și documentele solicitantului.","Nu. Conținutul este orientativ și trebuie confirmat cu documentul oficial al apelului analizat și documentele solicitantului.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Prin verificarea eligibilității, a bugetului, a cheltuielilor neeligibile, a punctajului și a termenelor înainte de depunere.","Prin verificarea inițială a eligibilității, a bugetului, a cheltuielilor neeligibile, a punctajului și a termenelor înainte de depunere.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Porneste de la solicitant, cod CAEN, localitate, investiție, buget și documentele disponibile. Dacă una dintre aceste piese nu se potriveste cu apelul activ, proiectul trebuie ajustat înainte de depunere.","Porneste de la solicitant, cod CAEN, localitate, investiție, buget și documentele disponibile. Dacă una dintre aceste piese nu se potriveste cu apelul analizat, proiectul trebuie ajustat înainte de depunere.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Nu merită să aplici când nu poți dovedi eligibilitatea, când cheltuielile principale nu sunt permise, când cofinanțarea nu este acoperita sau când calendarul nu permite documente complete și verificabile.","Nu merită să aplici când nu poți dovedi eligibilitatea, când cheltuielile principale nu sunt permise, când contribuția proprie nu este acoperita sau când calendarul nu permite documente complete și verificabile.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Dacă proiectul implica sume, cheltuieli tehnice, condiții de vârstă, cod CAEN, amplasament sau cofinanțare, merită verificat înainte de depunere. O analiză inițială poate identifica rapid documentele lipsă și riscurile evidente.","Dacă proiectul implica sume, cheltuieli tehnice, condiții de vârstă, cod CAEN, amplasament sau contribuție proprie, merită verificat înainte de depunere. O analiză inițială poate identifica rapid documentele lipsă și riscurile evidente.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Verificare eligibilitate","Verificare inițială a eligibilității","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[2].description","Hub despre eligibilitate: diferența dintre eligibilitate administrativă, tehnică și punctaj, documente, CAEN, cofinanțare și riscuri.","Hub despre eligibilitate: diferența dintre eligibilitate administrativă, tehnică și punctaj, documente, CAEN, contribuție proprie și riscuri.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[4].mainEntity[0].acceptedAnswer.text","Nu. Conținutul este orientativ și trebuie confirmat cu ghidul apelului activ și documentele solicitantului.","Nu. Conținutul este orientativ și trebuie confirmat cu documentul oficial al apelului analizat și documentele solicitantului.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[4].mainEntity[3].acceptedAnswer.text","Prin verificarea eligibilității, a bugetului, a cheltuielilor neeligibile, a punctajului și a termenelor înainte de depunere.","Prin verificarea inițială a eligibilității, a bugetului, a cheltuielilor neeligibile, a punctajului și a termenelor înainte de depunere.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[4].mainEntity[4].acceptedAnswer.text","Porneste de la solicitant, cod CAEN, localitate, investiție, buget și documentele disponibile. Dacă una dintre aceste piese nu se potriveste cu apelul activ, proiectul trebuie ajustat înainte de depunere.","Porneste de la solicitant, cod CAEN, localitate, investiție, buget și documentele disponibile. Dacă una dintre aceste piese nu se potriveste cu apelul analizat, proiectul trebuie ajustat înainte de depunere.","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[4].mainEntity[5].acceptedAnswer.text","Nu merită să aplici când nu poți dovedi eligibilitatea, când cheltuielile principale nu sunt permise, când cofinanțarea nu este acoperita sau când calendarul nu permite documente complete și verificabile.","Nu merită să aplici când nu poți dovedi eligibilitatea, când cheltuielile principale nu sunt permise, când contribuția proprie nu este acoperita sau când calendarul nu permite documente complete și verificabile.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Solicită verificare eligibilitate","Solicită verificare inițială","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Verifică eligibilitatea pentru Fonduri europene pentru digitalizare","Cere o verificare inițială pentru Fonduri europene pentru digitalizare","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","valorile depind de apelul activ.","valorile depind de apelul analizat.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","verificare eligibilitate și discuție de consultanță","verificare inițială a eligibilității și discuție de consultanță","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Informațiile de pe această pagină sunt construite pentru orientare practică. Ele nu promit aprobare și nu înlocuiesc verificarea apelului activ, a anexelor și a grilei de selecție. Scopul este să poți pregăti o discuție serioasa despre eligibilitate și dosar.","Informațiile de pe această pagină sunt construite pentru orientare practică. Ele nu promit aprobare și nu înlocuiesc verificarea apelului analizat, a anexelor și a grilei de selecție. Scopul este să poți pregăti o discuție serioasa despre eligibilitate și dosar.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Dacă datele, documentele sau bugetul nu susțin proiectul, recomandarea prudentă este ajustarea sau amanarea depunerii. Regulile finale se confirmă în ghidul activ, anexele apelului și sursele oficiale.","Dacă datele, documentele sau bugetul nu susțin proiectul, recomandarea prudentă este ajustarea sau amanarea depunerii. Regulile finale se confirmă în documentul oficial aplicabil, anexele apelului și sursele oficiale.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Finanțare, cofinanțare și buget","Finanțare, contribuție proprie și buget","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","valorile depind de apelul activ. Pentru o decizie realistă, bugetul trebuie impartit în cheltuieli eligibile, cheltuieli neeligibile, contribuție proprie, posibile diferențe de curs, costuri de implementare și rezerva pentru intarzieri.","valorile depind de apelul analizat. Pentru o decizie realistă, bugetul trebuie impartit în cheltuieli eligibile, cheltuieli neeligibile, contribuție proprie, posibile diferențe de curs, costuri de implementare și rezerva pentru intarzieri.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Exemplu numeric de cofinanțare","Exemplu numeric de contribuție proprie","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","procentul real se confirmă în ghidul activ","procentul real se confirmă în documentul oficial aplicabil","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Porneste de la solicitant, cod CAEN, localitate, investiție, buget și documentele disponibile. Dacă una dintre aceste piese nu se potriveste cu apelul activ, proiectul trebuie ajustat înainte de depunere.","Porneste de la solicitant, cod CAEN, localitate, investiție, buget și documentele disponibile. Dacă una dintre aceste piese nu se potriveste cu apelul analizat, proiectul trebuie ajustat înainte de depunere.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Nu merită să aplici când nu poți dovedi eligibilitatea, când cheltuielile principale nu sunt permise, când cofinanțarea nu este acoperita sau când calendarul nu permite documente complete și verificabile.","Nu merită să aplici când nu poți dovedi eligibilitatea, când cheltuielile principale nu sunt permise, când contribuția proprie nu este acoperita sau când calendarul nu permite documente complete și verificabile.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","De regula sunt necesare documente de firmă sau solicitant, documente pentru activitate și locație, date financiare, oferte, descrierea investiției și informații despre cofinanțare.","De regula sunt necesare documente de firmă sau solicitant, documente pentru activitate și locație, date financiare, oferte, descrierea investiției și informații despre contribuție proprie.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Dacă proiectul implica sume, cheltuieli tehnice, condiții de vârstă, cod CAEN, amplasament sau cofinanțare, merită verificat înainte de depunere. O analiză inițială poate identifica rapid documentele lipsă și riscurile evidente.","Dacă proiectul implica sume, cheltuieli tehnice, condiții de vârstă, cod CAEN, amplasament sau contribuție proprie, merită verificat înainte de depunere. O analiză inițială poate identifica rapid documentele lipsă și riscurile evidente.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Verifică eligibilitatea","Cere o verificare inițială","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","json-ld:$.@graph[4].mainEntity[4].acceptedAnswer.text","Porneste de la solicitant, cod CAEN, localitate, investiție, buget și documentele disponibile. Dacă una dintre aceste piese nu se potriveste cu apelul activ, proiectul trebuie ajustat înainte de depunere.","Porneste de la solicitant, cod CAEN, localitate, investiție, buget și documentele disponibile. Dacă una dintre aceste piese nu se potriveste cu apelul analizat, proiectul trebuie ajustat înainte de depunere.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","json-ld:$.@graph[4].mainEntity[5].acceptedAnswer.text","Nu merită să aplici când nu poți dovedi eligibilitatea, când cheltuielile principale nu sunt permise, când cofinanțarea nu este acoperita sau când calendarul nu permite documente complete și verificabile.","Nu merită să aplici când nu poți dovedi eligibilitatea, când cheltuielile principale nu sunt permise, când contribuția proprie nu este acoperita sau când calendarul nu permite documente complete și verificabile.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","json-ld:$.@graph[4].mainEntity[6].acceptedAnswer.text","De regula sunt necesare documente de firmă sau solicitant, documente pentru activitate și locație, date financiare, oferte, descrierea investiției și informații despre cofinanțare.","De regula sunt necesare documente de firmă sau solicitant, documente pentru activitate și locație, date financiare, oferte, descrierea investiției și informații despre contribuție proprie.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","title","Verificare eligibilitate fonduri europene | FABER","Verificare inițială a eligibilității fonduri europene | FABER","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","metadata","Verificăm solicitantul, codul CAEN, locația, investiția, bugetul, cofinanțarea și documentele înainte de alegerea programului.","Verificăm solicitantul, codul CAEN, locația, investiția, bugetul, contribuția proprie și documentele înainte de alegerea programului.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","metadata","Verifică eligibilitatea proiectului | FABER","Cere o verificare inițială a proiectului | FABER","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","metadata","Analizăm solicitantul, CAEN-ul, locația, investiția, bugetul, cofinanțarea și documentele înainte de alegerea unui program.","Analizăm solicitantul, CAEN-ul, locația, investiția, bugetul, contribuția proprie și documentele înainte de alegerea unui program.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Solicită verificare eligibilitate","Solicită verificare inițială","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","/ Verificare eligibilitate pentru fonduri europene","/ Verificare inițială a eligibilității pentru fonduri europene","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Verificare eligibilitate pentru fonduri europene","Verificare inițială a eligibilității pentru fonduri europene","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Verificare inițială pentru fonduri europene: firmă, CAEN, localitate, investiție, buget, cofinanțare, documente și program potrivit.","Verificare inițială pentru fonduri europene: firmă, CAEN, localitate, investiție, buget, contribuție proprie, documente și program potrivit.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Verifică eligibilitatea","Cere o verificare inițială","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Verificarea eligibilității pentru fonduri europene se adresează firmelor, fermierilor și organizațiilor care au o investiție conturată, dar trebuie să aleagă sau să confirme programul potrivit. Sunt controlate solicitantul, codul CAEN, locația, bugetul, cofinanțarea și documentele. Concluzia este preliminară până la confruntarea cu ghidul final și anexele apelului activ.","Verificarea inițială a eligibilității pentru fonduri europene se adresează firmelor, fermierilor și organizațiilor care au o investiție conturată, dar trebuie să aleagă sau să confirme programul potrivit. Sunt controlate solicitantul, codul CAEN, locația, bugetul, contribuția proprie și documentele. Concluzia este preliminară până la confruntarea cu ghidul final și anexele apelului analizat.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Serviciul verifică dacă solicitantul și investiția au o potrivire realistă cu un program de finanțare. Sunt necesare forma juridică, CAEN-ul sau activitatea fermei, localitatea, bugetul, cofinanțarea și documentele existente. Rezultatul poate fi: continuăm pregătirea, ajustăm proiectul sau amânăm până când apar documente ori reguli mai clare.","Serviciul verifică dacă solicitantul și investiția au o potrivire realistă cu un program de finanțare. Sunt necesare forma juridică, CAEN-ul sau activitatea fermei, localitatea, bugetul, contribuția proprie și documentele existente. Rezultatul poate fi: continuăm pregătirea, ajustăm proiectul sau amânăm până când apar documente ori reguli mai clare.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Verificare eligibilitate","Verificare inițială a eligibilității","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","concluzia inițială nu înlocuiește evaluarea autorității și nici ghidul apelului activ","concluzia inițială nu înlocuiește evaluarea autorității și nici documentul oficial al apelului analizat","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Verificarea începe înaintea listei de achiziții. Comparăm forma juridică, CAEN-ul sau activitatea agricolă, localitatea, dreptul asupra spațiului, bugetul și cofinanțarea cu regulile programului urmărit.","Verificarea începe înaintea listei de achiziții. Comparăm forma juridică, CAEN-ul sau activitatea agricolă, localitatea, dreptul asupra spațiului, bugetul și contribuția proprie cu regulile programului urmărit.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","oferte comparabile, cheltuieli permise, TVA, cofinanțare și costuri neeligibile","oferte comparabile, cheltuieli permise, TVA, contribuție proprie și costuri neeligibile","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în ghidul activ, anexele apelului și sursele oficiale.","Dacă documentele, bugetul sau condițiile nu se potrivesc, proiectul se ajustează înainte de depunere. Regulile finale se confirmă în documentul oficial aplicabil, anexele apelului și sursele oficiale.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Concluzia nu este o promisiune de aprobare. Este o filtrare pragmatică: proiectul poate merge mai departe, trebuie ajustat sau ar trebui amânat până când ghidul activ și documentele confirmă încadrarea.","Concluzia nu este o promisiune de aprobare. Este o filtrare pragmatică: proiectul poate merge mai departe, trebuie ajustat sau ar trebui amânat până când documentul oficial aplicabil și documentele confirmă încadrarea.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","investiția dorită, bugetul estimat și cofinanțarea disponibilă;","investiția dorită, bugetul estimat și contribuția proprie disponibilă;","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","solicitanți care pot documenta amplasamentul și cofinanțarea.","solicitanți care pot documenta amplasamentul și contribuția proprie.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","bugetul și cofinanțarea;","bugetul și contribuția proprie;","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Finanțare, cofinanțare și buget","Finanțare, contribuție proprie și buget","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","procentul din apelul activ","procentul din apelul analizat","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Cum se calculează cofinanțarea?","Cum se calculează contribuția proprie?","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[2].description","Verificăm solicitantul, codul CAEN, locația, investiția, bugetul, cofinanțarea și documentele înainte de alegerea programului.","Verificăm solicitantul, codul CAEN, locația, investiția, bugetul, contribuția proprie și documentele înainte de alegerea programului.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[2].name","Verificare eligibilitate pentru fonduri europene","Verificare inițială a eligibilității pentru fonduri europene","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[3].itemListElement[2].name","Verificare eligibilitate pentru fonduri europene","Verificare inițială a eligibilității pentru fonduri europene","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[4].description","Verificăm solicitantul, codul CAEN, locația, investiția, bugetul, cofinanțarea și documentele înainte de alegerea programului.","Verificăm solicitantul, codul CAEN, locația, investiția, bugetul, contribuția proprie și documentele înainte de alegerea programului.","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[4].name","Verificare eligibilitate pentru fonduri europene","Verificare inițială a eligibilității pentru fonduri europene","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","json-ld:$.@graph[5].mainEntity[4].name","Cum se calculează cofinanțarea?","Cum se calculează contribuția proprie?","Lexic controlat P0.14"
"/","index.html","visible-copy","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
"/despre-faber","despre-faber/index.html","visible-copy","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
"/contact","contact/index.html","visible-copy","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
"/fonduri-europene","fonduri-europene/index.html","visible-copy","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","visible-copy","Descrie procesele actuale, nevoile, utilizatorii, integrarea, securitatea și rezultatele urmărite. Cerințele furnizorilor se clarifică după verificarea eligibilității investiției.","Descrie procesele actuale, nevoile, utilizatorii, integrarea, securitatea și rezultatele urmărite. Cerințele furnizorilor se clarifică după verificarea inițială a eligibilității investiției.","Lexic controlat P0.14"
"/fonduri-europene-digitalizare","fonduri-europene-digitalizare/index.html","json-ld:$.@graph[4].mainEntity[4].acceptedAnswer.text","Descrie procesele actuale, nevoile, utilizatorii, integrarea, securitatea și rezultatele urmărite. Cerințele furnizorilor se clarifică după verificarea eligibilității investiției.","Descrie procesele actuale, nevoile, utilizatorii, integrarea, securitatea și rezultatele urmărite. Cerințele furnizorilor se clarifică după verificarea inițială a eligibilității investiției.","Lexic controlat P0.14"
"/digitalizare-imm","digitalizare-imm/index.html","visible-copy","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
"/eligibilitate-fonduri-europene","eligibilitate-fonduri-europene/index.html","visible-copy","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
"/verificare-eligibilitate-fonduri-europene","verificare-eligibilitate-fonduri-europene/index.html","visible-copy","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
"/dr12-afir","dr12-afir/index.html","visible-copy","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
